Timestamp;Offset;Event;Path
2023-02-19 21:17:33.938054;159;"LOOKUP SENT";P4-P2
2023-02-19 21:17:34.002072;159;"LOOKUP RECEIVED";P4-P3
2023-02-19 21:17:34.114042;159;"LOOKUP RECEIVED";P4-P1
2023-02-19 21:17:36.234391;161;"LOOKUP SENT";P3-P2
2023-02-19 21:17:36.235335;161;"LOOKUP SENT";P3-P4
2023-02-19 21:17:36.235665;161;"LOOKUP SENT";P3-P1
2023-02-19 21:17:36.293949;161;"LOOKUP RECEIVED";P3-P4
2023-02-19 21:17:36.322927;162;"LOOKUP RECEIVED";P3-P1
2023-02-19 21:17:36.352971;162;"LOOKUP RECEIVED";P3-P2
2023-02-19 21:17:40.945740;166;"LOOKUP SENT";P4-P3
2023-02-19 21:17:40.946179;166;"LOOKUP SENT";P4-P1
2023-02-19 21:17:40.946985;166;"LOOKUP SENT";P4-P2
2023-02-19 21:17:41.199728;166;"LOOKUP RECEIVED";P4-P1
2023-02-19 21:17:41.263500;166;"LOOKUP RECEIVED";P4-P3
2023-02-19 21:17:42.057947;167;"LOOKUP SENT";P1-P4
2023-02-19 21:17:42.058506;167;"LOOKUP SENT";P1-P2
2023-02-19 21:17:42.059065;167;"LOOKUP SENT";P1-P3
2023-02-19 21:17:42.117846;167;"LOOKUP RECEIVED";P1-P2
2023-02-19 21:17:42.157651;167;"LOOKUP RECEIVED";P1-P4
2023-02-19 21:17:43.527059;169;"LOOKUP SENT";P2-P4
2023-02-19 21:17:43.527378;169;"LOOKUP SENT";P2-P3
2023-02-19 21:17:43.527696;169;"LOOKUP SENT";P2-P1
2023-02-19 21:17:43.627570;169;"LOOKUP RECEIVED";P1-P3
2023-02-19 21:17:43.627681;169;"LOOKUP RECEIVED";P2-P3
2023-02-19 21:17:43.641094;169;"LOOKUP RECEIVED";P2-P4
2023-02-19 21:17:45.950470;171;"LOOKUP SENT";P4-P3
2023-02-19 21:17:45.950930;171;"LOOKUP SENT";P4-P1
2023-02-19 21:17:45.951426;171;"LOOKUP SENT";P4-P2
2023-02-19 21:17:46.008191;171;"LOOKUP RECEIVED";P4-P3
2023-02-19 21:17:46.126975;171;"LOOKUP RECEIVED";P4-P1
2023-02-19 21:17:46.166531;171;"LOOKUP RECEIVED";P4-P2
2023-02-19 21:17:50.068368;175;"LOOKUP SENT";P1-P4
2023-02-19 21:17:50.068944;175;"LOOKUP SENT";P1-P2
2023-02-19 21:17:50.069546;175;"LOOKUP SENT";P1-P3
2023-02-19 21:17:50.124089;175;"LOOKUP RECEIVED";P1-P3
2023-02-19 21:17:50.300594;175;"LOOKUP RECEIVED";P1-P2
2023-02-19 21:17:50.439020;176;"LOOKUP RECEIVED";P1-P4
2023-02-19 21:17:51.249491;176;"LOOKUP SENT";P3-P2
2023-02-19 21:17:51.250185;176;"LOOKUP SENT";P3-P4
2023-02-19 21:17:51.251416;176;"LOOKUP SENT";P3-P1
2023-02-19 21:17:51.337566;177;"LOOKUP RECEIVED";P3-P1
